id,ticker_id,v,vw,o,c,h,l,t,n,datetime
,,,,,,,,,,
0,1,9648621,97.9309,97.67,98.3,99.4025,94.5252,1.59755E+12,100383,8/16/2020 6:00
,,,,,,,,,,
0,1,5467040,98.7616,98.78,99.9,99.93,97.14,1.59816E+12,72545,8/23/2020 6:00
,,,,,,,,,,
0,1,7532018,100.0318,99.9,96.84,103.66,95.66,1.59876E+12,96479,8/30/2020 6:00
,,,,,,,,,,
0,1,5554683,98.1035,96.11,98.6,100.1,94.76,1.59936E+12,77521,9/6/2020 6:00
,,,,,,,,,,
0,1,7273782,99.8131,99.73,99.38,101.53,98.08,1.59997E+12,82210,9/13/2020 6:00
,,,,,,,,,,
0,1,5169538,97.4027,98.18,97.69,98.975,95.44,1.60057E+12,70590,9/20/2020 6:00
,,,,,,,,,,
0,1,4922940,100.4249,98.64,100.01,102.41,98.12,1.60118E+12,69732,9/27/2020 6:00
,,,,,,,,,,
0,1,4742633,103.6607,100.99,105.76,106.1,100.96,1.60178E+12,62270,10/4/2020 6:00
,,,,,,,,,,
0,1,4715641,105.8275,106.45,106.7,107.54,103.88,1.60239E+12,67152,10/11/2020 6:00
,,,,,,,,,,
0,1,4256214,105.9593,106.78,106.17,107.62,104.12,1.60299E+12,64083,10/18/2020 6:00
,,,,,,,,,,
0,1,7189671,103.025,105.39,102.09,106.66,100.6548,1.6036E+12,88608,10/25/2020 5:00
,,,,,,,,,,
0,1,6360427,108.4074,103.52,112.54,113.35,103.29,1.6042E+12,88429,11/1/2020 5:00
,,,,,,,,,,
0,1,8628289,111.1234,116.16,110.17,117.5,108.84,1.60481E+12,111221,11/8/2020 6:00
,,,,,,,,,,
0,1,10077808,109.3099,111,110.89,112.3,105.19,1.60542E+12,116761,11/15/2020 6:00
,,,,,,,,,,
0,1,12890262,113.502,111.4,114.09,118.96,109.56,1.60602E+12,134067,11/22/2020 6:00
,,,,,,,,,,
0,1,10010737,115.3507,113.89,115.15,118.38,113.16,1.60663E+12,112541,11/29/2020 6:00
,,,,,,,,,,
0,1,8233793,116.7544,115.2,118.48,119.9,114.12,1.60723E+12,106326,12/6/2020 6:00
,,,,,,,,,,
0,1,11426170,118.3537,118.61,119.3,120.24,116.4,1.60784E+12,97397,12/13/2020 6:00
,,,,,,,,,,
0,1,5746686,117.5794,117.7,117.31,118.89,115.96,1.60844E+12,65796,12/20/2020 6:00
,,,,,,,,,,
0,1,4482883,117.7124,118.51,118.49,119.12,116.6038,1.60905E+12,61672,12/27/2020 6:00
,,,,,,,,,,
0,1,10266211,122.3145,118.94,127.06,127.6404,117.11,1.60965E+12,118307,1/3/2021 6:00
,,,,,,,,,,
0,1,8369494,127.0621,126.45,126.21,129.34,124.74,1.61025E+12,104280,1/10/2021 6:00
,,,,,,,,,,
0,1,6657840,127.3108,127.38,126.33,128.92,126.29,1.61086E+12,71154,1/17/2021 6:00
,,,,,,,,,,
0,1,8373833,122.1612,126.69,120.17,127.48,118.11,1.61146E+12,108265,1/24/2021 6:00
,,,,,,,,,,
0,1,7543743,123.0429,120.69,123.18,125.96,120.18,1.61207E+12,99757,1/31/2021 6:00
,,,,,,,,,,
1,2,22113421,15.0309,14.75,14.6,15.945,14.36,1.59755E+12,125169,8/16/2020 6:00
,,,,,,,,,,
1,2,15239569,15.0387,14.85,15.12,15.44,14.672,1.59816E+12,96592,8/23/2020 6:00
,,,,,,,,,,
1,2,22192406,14.6006,15.23,14.4,15.23,13.9,1.59876E+12,128540,8/30/2020 6:00
,,,,,,,,,,
1,2,16682495,14.082,14.26,13.98,14.555,13.675,1.59936E+12,107955,9/6/2020 6:00
,,,,,,,,,,
1,2,29396503,13.6999,14.19,13.32,14.39,13.21,1.59997E+12,154004,9/13/2020 6:00
,,,,,,,,,,
1,2,27788787,11.9388,12.96,11.55,13.0899,11.3,1.60057E+12,154622,9/20/2020 6:00
,,,,,,,,,,
1,2,27836309,11.7507,11.83,11.82,12.33,10.98,1.60118E+12,150611,9/27/2020 6:00
,,,,,,,,,,
1,2,29897609,12.2802,11.95,12.52,12.97,11.66,1.60178E+12,153181,10/4/2020 6:00
,,,,,,,,,,
1,2,37747851,12.4433,12.59,12.62,13.14,11.41,1.60239E+12,175031,10/11/2020 6:00
,,,,,,,,,,
1,2,29406562,13.2436,12.67,13.47,14.14,12.61,1.60299E+12,168498,10/18/2020 6:00
,,,,,,,,,,
1,2,21682857,12.7868,13.26,12.92,13.37,12.15,1.6036E+12,131379,10/25/2020 5:00
,,,,,,,,,,
1,2,26055583,13.7557,13.1,14.44,14.54,12.86,1.6042E+12,166166,11/1/2020 5:00
,,,,,,,,,,
1,2,29796511,15.913,15.5,16.57,16.6298,15.11,1.60481E+12,178180,11/8/2020 6:00
,,,,,,,,,,
1,2,28466288,18.2342,17.21,18.82,19.23,16.76,1.60542E+12,164100,11/15/2020 6:00
,,,,,,,,,,
1,2,24129549,20.2995,19.3,20.48,21.19,19.24,1.60602E+12,127892,11/22/2020 6:00
,,,,,,,,,,
1,2,32620097,22.0996,20.32,23.73,24.17,19.65,1.60663E+12,198186,11/29/2020 6:00
,,,,,,,,,,
1,2,30745675,23.1994,23.51,22.84,24.098,22,1.60723E+12,171510,12/6/2020 6:00
,,,,,,,,,,
1,2,29112486,22.0884,23.25,22.01,23.375,21.3042,1.60784E+12,160109,12/13/2020 6:00
,,,,,,,,,,
1,2,12816126,21.9373,21.25,21.96,22.66,21.13,1.60844E+12,77849,12/20/2020 6:00
,,,,,,,,,,
1,2,14908487,22.5684,22.1,23.05,23.43,21.15,1.60905E+12,83422,12/27/2020 6:00
,,,,,,,,,,
1,2,23145809,24.5084,23.62,24.99,26.2,23.125,1.60965E+12,149916,1/3/2021 6:00
,,,,,,,,,,
1,2,18628128,24.4225,23.86,23.28,25.45,22.96,1.61025E+12,118214,1/10/2021 6:00
,,,,,,,,,,
1,2,45967212,20.8692,23.89,19.4,24.22,19.17,1.61086E+12,218815,1/17/2021 6:00
,,,,,,,,,,
1,2,38768772,18.6236,19.26,18,19.6598,17.3,1.61146E+12,223891,1/24/2021 6:00
,,,,,,,,,,
1,2,37945944,19.4895,18.49,20.95,20.98,17.78,1.61207E+12,198844,1/31/2021 6:00
,,,,,,,,,,
2,3,74944,25.0611,25.1,25.035,25.119,25.02,1.59936E+12,295,9/6/2020 6:00
,,,,,,,,,,
2,3,61277,25.0042,25.01,24.975,25.06,24.97,1.59997E+12,498,9/13/2020 6:00
,,,,,,,,,,
2,3,144313,24.9818,24.99,24.98,25,24.97,1.60057E+12,301,9/20/2020 6:00
,,,,,,,,,,
2,3,47730,24.9422,24.96,24.915,24.97,24.9127,1.60118E+12,266,9/27/2020 6:00
,,,,,,,,,,
2,3,55053,24.9155,24.91,24.895,24.94,24.88,1.60178E+12,272,10/4/2020 6:00
,,,,,,,,,,
2,3,4082,24.9094,24.895,24.91,24.92,24.895,1.60239E+12,60,10/11/2020 6:00
,,,,,,,,,,
2,3,29099,24.9167,24.9,24.955,24.955,24.9,1.60299E+12,214,10/18/2020 6:00
,,,,,,,,,,
2,3,5443,24.95,24.96,24.95,24.962,24.94,1.6036E+12,50,10/25/2020 5:00
,,,,,,,,,,
2,3,10559,24.8946,24.9,24.885,24.9,24.87,1.6042E+12,52,11/1/2020 5:00
,,,,,,,,,,
2,3,9561,24.9702,24.9299,25.01,25.01,24.92,1.60481E+12,47,11/8/2020 6:00
,,,,,,,,,,
2,3,45766,25.0286,25.01,25.04,25.05,25,1.60542E+12,133,11/15/2020 6:00
,,,,,,,,,,
2,3,1570,25.0459,25.04,25.05,25.05,25.04,1.60602E+12,29,11/22/2020 6:00
,,,,,,,,,,
2,3,6889,25.0386,25.05,25.05,25.05,25.02,1.60663E+12,87,11/29/2020 6:00
,,,,,,,,,,
2,3,5076,25.0565,25.0583,25.06,25.0682,25.05,1.60723E+12,59,12/6/2020 6:00
,,,,,,,,,,
2,3,8946,25.0679,25.06,25.08,25.0899,25.06,1.60784E+12,80,12/13/2020 6:00
,,,,,,,,,,
2,3,7365,25.0829,25.08,25.09,25.09,25.07,1.60844E+12,82,12/20/2020 6:00
,,,,,,,,,,
2,3,4233,25.0688,25.08,25.07,25.09,25.06,1.60905E+12,37,12/27/2020 6:00
,,,,,,,,,,
2,3,15863,25.0714,25.065,25.07,25.09,25.065,1.60965E+12,95,1/3/2021 6:00
,,,,,,,,,,
2,3,5530,25.1132,25.07,25.125,25.14,25.07,1.61025E+12,87,1/10/2021 6:00
,,,,,,,,,,
2,3,8293,25.1533,25.16,25.16,25.17,25.14,1.61086E+12,58,1/17/2021 6:00
,,,,,,,,,,
2,3,4336,25.1599,25.155,25.145,25.165,25.14,1.61146E+12,92,1/24/2021 6:00
,,,,,,,,,,
2,3,14436,25.1148,25.1399,25.14,25.4,24.84,1.61207E+12,152,1/31/2021 6:00
,,,,,,,,,,
2,3,6368,25.1393,25.1457,25.12,25.1498,25.12,1.61267E+12,119,2/7/2021 6:00
,,,,,,,,,,
2,3,1093,25.1356,25.13,25.13,25.14,25.12,1.61328E+12,41,2/14/2021 6:00
,,,,,,,,,,
2,3,4410,25.0768,25.09,25.07,25.09,25.06,1.61388E+12,42,2/21/2021 6:00
,,,,,,,,,,
2,3,1026,25.0522,25.05,25.055,25.055,25.041,1.61449E+12,44,2/28/2021 6:00
,,,,,,,,,,
3,4,2639891,19.6467,19.61,19.32,20.1,19.15,1.59755E+12,5576,8/16/2020 6:00
,,,,,,,,,,
3,4,2968151,19.3255,19.41,19.57,19.66,19.0308,1.59816E+12,5177,8/23/2020 6:00
,,,,,,,,,,
3,4,4962752,19.4226,19.61,19.27,19.85,19.11,1.59876E+12,6252,8/30/2020 6:00
,,,,,,,,,,
3,4,2808850,19.3069,19.04,19.36,19.58,18.998,1.59936E+12,5014,9/6/2020 6:00
,,,,,,,,,,
3,4,2662723,19.468,19.48,19.44,19.63,19.26,1.59997E+12,4458,9/13/2020 6:00
,,,,,,,,,,
3,4,4606307,18.725,19.09,18.57,19.1284,18.45,1.60057E+12,6325,9/20/2020 6:00
,,,,,,,,,,
3,4,2456131,18.8642,18.64,18.95,19.045,18.58,1.60118E+12,3054,9/27/2020 6:00
,,,,,,,,,,
3,4,2830114,18.9407,19,19.22,19.22,18.73,1.60178E+12,3234,10/4/2020 6:00
,,,,,,,,,,
3,4,2232027,18.9447,19.15,18.93,19.19,18.8,1.60239E+12,2775,10/11/2020 6:00
,,,,,,,,,,
3,4,2069179,19.0106,19.03,18.97,19.24,18.87,1.60299E+12,2565,10/18/2020 6:00
,,,,,,,,,,
3,4,2977428,18.7776,18.98,18.71,19.0383,18.55,1.6036E+12,3892,10/25/2020 5:00
,,,,,,,,,,
3,4,3643017,19.1309,18.84,19.45,19.479,18.8001,1.6042E+12,3856,11/1/2020 5:00
,,,,,,,,,,
3,4,4804383,18.6715,18.73,18.8,18.87,18.435,1.60481E+12,5224,11/8/2020 6:00
,,,,,,,,,,
3,4,2638696,18.7132,18.8,18.65,18.88,18.49,1.60542E+12,3867,11/15/2020 6:00
,,,,,,,,,,
3,4,2714824,18.1019,18.6,17.8,18.6,17.71,1.60602E+12,4406,11/22/2020 6:00
,,,,,,,,,,
3,4,1750143,18.0565,17.68,18.3,18.39,17.62,1.60663E+12,3862,11/29/2020 6:00
,,,,,,,,,,
3,4,1451474,18.4182,18.33,18.31,18.68,18.18,1.60723E+12,2844,12/6/2020 6:00
,,,,,,,,,,
3,4,2685384,18.5392,18.26,18.72,18.88,18.15,1.60784E+12,3590,12/13/2020 6:00
,,,,,,,,,,
3,4,1557387,18.6608,18.7,18.71,18.7799,18.51,1.60844E+12,2230,12/20/2020 6:00
,,,,,,,,,,
3,4,1673246,18.7709,18.8,18.94,18.94,18.64,1.60905E+12,2134,12/27/2020 6:00
,,,,,,,,,,
3,4,4430981,19.005,19.33,18.41,19.44,18.2199,1.60965E+12,6290,1/3/2021 6:00
,,,,,,,,,,
3,4,2666261,18.3855,18.27,18.18,18.52,18.16,1.61025E+12,4292,1/10/2021 6:00
,,,,,,,,,,
3,4,4734789,18.3227,18.34,18.47,18.63,18.26,1.61086E+12,2570,1/17/2021 6:00
,,,,,,,,,,
3,4,6354640,18.4631,18.55,18.35,18.59,18.24,1.61146E+12,3683,1/24/2021 6:00
,,,,,,,,,,
3,4,2787690,18.1523,18.58,18.04,18.61,17.78,1.61207E+12,3746,1/31/2021 6:00
,,,,,,,,,,
4,5,276149,9.79,9.95,9.96,9.96,9.52,1.6163E+12,1589,3/21/2021 5:00
,,,,,,,,,,
4,5,341409,9.8192,9.7,9.77,9.98,9.5,1.6169E+12,1596,3/28/2021 6:00
,,,,,,,,,,
4,5,783012,9.8428,9.82,9.8752,10,9.77,1.61751E+12,3147,4/4/2021 6:00
,,,,,,,,,,
4,5,888703,9.8996,9.88,9.83,9.99,9.82,1.61811E+12,2554,4/11/2021 6:00
,,,,,,,,,,
4,5,1220771,9.8058,9.85,9.81,10,9.74,1.61872E+12,2974,4/18/2021 6:00
,,,,,,,,,,
4,5,1296918,9.7977,9.79,9.83,9.87,9.75,1.61932E+12,3685,4/25/2021 6:00
,,,,,,,,,,
4,5,3117739,9.8142,9.87,9.825,9.87,9.8,1.61993E+12,5328,5/2/2021 6:00
,,,,,,,,,,
4,5,2743817,9.8496,9.88,9.82,9.895,9.76,1.62053E+12,3660,5/9/2021 6:00
,,,,,,,,,,
4,5,1641132,9.7686,9.82,9.78,9.82,9.75,1.62114E+12,3327,5/16/2021 6:00
,,,,,,,,,,
4,5,440591,9.8228,9.76,9.77,9.86,9.76,1.62174E+12,3510,5/23/2021 6:00
,,,,,,,,,,
4,5,2264404,9.8283,9.77,9.77,9.86,9.76,1.62235E+12,9899,5/30/2021 6:00
,,,,,,,,,,
4,5,2662033,9.8027,9.81,9.8,9.84,9.77,1.62295E+12,4294,6/6/2021 6:00
,,,,,,,,,,
4,5,265322,9.7764,9.81,9.75,9.82,9.75,1.62356E+12,2738,6/13/2021 6:00
,,,,,,,,,,
4,5,2484527,9.8052,9.79,9.87,9.87,9.75,1.62416E+12,2276,6/20/2021 6:00
,,,,,,,,,,
4,5,987665,9.804,9.84,9.75,9.86,9.72,1.62477E+12,1981,6/27/2021 6:00
,,,,,,,,,,
4,5,299419,9.772,9.73,9.8,9.8192,9.73,1.62537E+12,1515,7/4/2021 6:00
,,,,,,,,,,
4,5,491843,9.8017,9.84,9.76,9.84,9.74,1.62598E+12,1111,7/11/2021 6:00
,,,,,,,,,,
4,5,341750,9.76,9.76,9.76,9.79,9.73,1.62658E+12,951,7/18/2021 6:00
,,,,,,,,,,
4,5,433903,9.7513,9.77,9.78,9.78,9.73,1.62719E+12,766,7/25/2021 6:00
,,,,,,,,,,
4,5,379190,9.734,9.78,9.77,9.78,9.68,1.62779E+12,2308,8/1/2021 6:00
,,,,,,,,,,
4,5,183126,9.7092,9.74,9.71,9.79,9.68,1.6284E+12,1933,8/8/2021 6:00
